学校,官网,招生网
厦门理工学院,http://www.xmut.edu.cn,http://zsb.xmut.edu.cn/
宁波大学,http://www.nbu.edu.cn,http://zsb.nbu.edu.cn/
长安大学,http://www.chd.edu.cn,http://zsb.chd.edu.cn/
电子科技大学,http://www.uestc.edu.cn,http://www.uestczs.net/web/
华东理工大学,http://www.ecust.edu.cn/,http://zsb.ecust.edu.cn/
福州大学,http://www.fzu.edu.cn,http://zsb.fzu.edu.cn/
南京理工大学,http://www.njust.edu.cn,http://zsb.njust.edu.cn/
青岛理工大学,http://www.qtech.edu.cn,http://zsjy.qtech.edu.cn/zhaosheng/
浙江工业大学,http://www.zjut.edu.cn,http://zs.zjut.edu.cn/
中南财经政法大学,http://www.znufe.edu.cn,http://www1.znufe.edu.cn/department/xgb/zskd.htm
天津理工大学,http://www.tjut.edu.cn/,http://www.tjut.edu.cn:8080/zsban/newzx.asp
大连外国语大学,http://www.dlufl.edu.cn,http://xsc.dlufl.edu.cn/
杭州电子科技大学,http://www.hdu.edu.cn,http://zhaosheng.hdu.edu.cn/index.php
长沙理工大学,http://www.csust.edu.cn/,http://wwwedu.csust.edu.cn/pub/cslg/jgsz/xxz/zsjyc
大连交通大学,http://www.djtu.edu.cn,http://recruit.djtu.edu.cn/
中国青年政治学院,http://www.cyu.edu.cn,http://zs.cyu.edu.cn/
兰州大学,http://www.lzu.edu.cn/,http://zsb.lzu.edu.cn/
天津科技大学,http://www.tust.edu.cn,http://zsjy.tust.edu.cn/zhaosheng/Index.Asp
江苏大学,http://www.ujs.edu.cn,http://zb.ujs.edu.cn/
东北电力大学,http://www.nedu.edu.cn/,http://sw.nedu.edu.cn/
上海理工大学,http://www.usst.edu.cn,http://zhaoban.usst.edu.cn/
北京邮电大学,http://www.bupt.edu.cn,http://zsb.bupt.edu.cn/
西南政法大学,http://202.202.80.13/,http://202.202.80.68/home/
南京审计大学,http://www.nau.edu.cn,http://xsc.nau.edu.cn/zs/nau-zs/index.asp
南通大学,http://www.ntu.edu.cn,http://zs.ntu.edu.cn/
对外经济贸易大学,http://www.uibe.edu.cn,http://zhaosheng.uibe.edu.cn/
重庆交通大学,http://www.cqjtu.edu.cn,http://zsjy.cqjtu.edu.cn/
广东外语外贸大学,http://www.gdufs.edu.cn,http://zsb.gdufs.edu.cn/
上海金融学院,http://www.shfc.edu.cn,http://zsxxw.sfu.edu.cn/
湖南科技大学,http://www.hnust.cn,http://zs.hnust.cn/
四川农业大学,http://www.sicau.edu.cn,http://zs.sicau.edu.cn/
北京外国语大学,http://www.bfsu.edu.cn,http://zhaosheng.bfsu.edu.cn/
